,OBJECTID,INDEX,ACCNUM,DATE,TIME,STREET1,STREET2,OFFSET,ROAD_CLASS,DISTRICT,LATITUDE,LONGITUDE,ACCLOC,TRAFFCTL,VISIBILITY,LIGHT,RDSFCOND,ACCLASS,IMPACTYPE,INVTYPE,INVAGE,INJURY,FATAL_NO,INITDIR,VEHTYPE,MANOEUVER,DRIVACT,DRIVCOND,PEDTYPE,PEDACT,PEDCOND,CYCLISTYPE,CYCACT,CYCCOND,PEDESTRIAN,CYCLIST,AUTOMOBILE,MOTORCYCLE,TRUCK,TRSN_CITY_VEH,EMERG_VEH,PASSENGER,SPEEDING,AG_DRIV,REDLIGHT,ALCOHOL,DISABILITY,HOOD_158,NEIGHBOURHOOD_158,HOOD_140,NEIGHBOURHOOD_140,DIVISION,x,y
OBJECTID,1.0,0.8751432135431124,0.57396406354886,0.9952370538295628,0.052115133786131265,0.010612454510785614,0.01464107664363966,0.4054039377934826,-0.0007691628370767804,-0.07342602410491376,-0.0034081340598741557,0.005437118008859082,0.5648207738848183,0.027718037207770038,-0.059685026368698074,0.08503161187392724,-0.05158523945394552,0.05011090818008673,0.02263199568356775,-0.11468432841476404,-0.16618221949484976,0.03186629630261452,0.12905656476356794,0.11731873204383697,-0.3386839187905926,0.04655850887649506,0.06349870611397736,0.08419012483645968,0.040284102109069846,0.02806222165596722,0.05403261419177017,0.027374970625644406,0.02971527230928854,0.035020331384182764,0.035668526990227586,0.026909093376189276,-0.03480905037355401,0.11320097149354857,-0.0029967432354661766,0.012356349830496003,0.04724846899839731,0.031704125440700885,0.04347546850687594,0.0319730493974235,-0.027347871580928638,-0.04942031751789359,-0.037318345455081475,-0.03028783379202586,-0.03842574803231017,-0.024743612108260656,-0.028971533387612124,-0.01321776289166267,0.0055066029072904235,-0.003226175854813734
INDEX,0.8751432135431124,1.0,0.7842610920159357,0.8731620836044345,0.05000134427006636,-0.010790506139067154,0.006196909111249396,0.44260494547849366,0.005819797941858203,-0.08194103534045101,0.015036504494697955,0.0018146692298365314,0.6474829532668592,0.01949747334180059,-0.058634574708050516,0.056446471909346,-0.05279201067878309,0.03531457365390396,0.020069947207271285,-0.12475280805419567,-0.20073903865515982,0.04256152633230328,0.16339634691167504,0.1174495078571976,-0.388333203110553,0.04096390588560835,0.0673276741399901,0.08788466822263089,0.034416082045844315,0.026684512266130576,0.048551325413080215,0.021501409951467192,0.020401235830472653,0.02516272280412826,0.020915645608145777,0.009960085301264757,-0.008761784452463244,0.09816879067859481,-0.015123870572612214,-0.011275461899830948,0.049694557608328596,0.07990859880809548,0.058987802903161385,0.04003841097390149,-0.01447479400004653,-0.03861394676799912,-0.029496381256572602,-0.026996871640735904,-0.043513128557966754,-0.032144589091959705,-0.028166110096854602,-0.022041735950932985,0.0015928166669192095,0.01492910576832194
ACCNUM,0.57396406354886,0.7842610920159357,1.0,0.5793227192176988,0.049568218411234696,0.007871035445010506,0.036997523449413455,0.33609597244113243,-0.028430776740526614,-0.07345959653504182,0.004782581991078828,-0.014038076308055114,0.6199602438718623,0.029520293743249635,-0.053197393336313396,0.03963799744405888,-0.048583799529776914,-0.029520554305054295,0.025480427351768014,-0.08953434501231242,-0.14305069069607895,0.032775802282257294,0.061335074199807854,0.06265855550992046,-0.2603218387133854,0.04739569176956375,0.04377263408002987,0.06663226795578653,0.005668123633805826,0.0015174724608066684,0.026255848190282774,0.018053495779856956,0.017112057421825286,0.022335041508383516,-0.005040972013360637,0.01921880329758463,-0.01176126907706015,0.06737010390181437,-0.004461261942219064,0.0033913652822860525,0.061142606021287814,0.05688020807143073,0.024337476876611242,0.03779335953929295,0.011003190998511199,-0.02578506734316678,-0.02779056788075011,-0.016820914177595177,-0.00972848156784923,-0.02283972121974184,0.005083409729828209,-0.014174265397849392,-0.014192480816021067,0.004389523843557866
DATE,0.9952370538295628,0.8731620836044345,0.5793227192176988,1.0,0.054844065490312545,0.01019992130577686,0.01543697103759183,0.41046616248158324,-0.007563235546748606,-0.07909760293823696,-0.005362241102543323,0.002575093922719611,0.5702613681879406,0.02933248381221617,-0.05997176951607747,0.08024606167545137,-0.053248736454871874,0.050590122948363854,0.023695358987045414,-0.11466356182237213,-0.16764240065393798,0.03245214041142604,0.10897995061835208,0.11500284265163119,-0.3346486847235012,0.047438451718371535,0.06420922564652791,0.08532025198275416,0.038516981749250334,0.026451692837337726,0.053709369226753595,0.02556148821704753,0.028325505092185108,0.033342963276117764,0.033969061496118814,0.023857692648846733,-0.03324309614850369,0.11369022050357212,-0.00383684891007642,0.00816299650940287,0.048333631340553296,0.03237612723992884,0.048025870187803535,0.03151923587015445,-0.02533844477656132,-0.04723492752571179,-0.037805808777675885,-0.030106822061527923,-0.03994934398528773,-0.025179765655344816,-0.02885940151051685,-0.014916362671183427,0.0026534890255834444,-0.005228982869210498
TIME,0.052115133786131265,0.05000134427006636,0.049568218411234696,0.054844065490312545,1.0,0.00012807378973610003,0.0019813727936575476,0.0147648773795619,0.02831456147607805,-0.03982099812907699,0.03287930829890337,0.010253382970367837,0.03476959008982993,-0.006426176091107902,0.01959193260236462,-0.0035837212396440175,-0.00501178232319779,-0.030223749669324618,0.050335546079808294,-0.025785373546416173,-0.014740898831567033,-0.020997112272769142,0.047545275328371585,0.03406568618317529,-0.04810097194776689,0.025823372896029914,-0.019780080141014518,0.02426254130258162,0.021584856872138878,0.007192950156834152,0.020415009696850867,0.0177246734665668,0.018616743054826537,0.022315963451719576,0.034267444594700575,0.040696626862333315,0.03059821464409235,0.078969941687042,-0.054775407271144605,-0.030165433782877105,0.008408755047848703,-0.0024827945785725124,-0.06844554760997537,-0.027406083146868432,-0.05268199227610043,-0.08547271710104064,-0.008617547759520361,-0.015338089641249041,-0.0358967064687779,-0.014427161518657547,-0.02968662721588788,0.025586163259137863,0.009856024971664571,0.0327664521441074
STREET1,0.010612454510785614,-0.010790506139067154,0.007871035445010506,0.01019992130577686,0.00012807378973610003,1.0,0.29467090388578354,-0.020973211257453852,0.10104523526797367,-0.02403486696005772,0.0794533820454073,0.01924230692963546,-0.06499074956119218,0.191056926823976,0.0003610541368926686,0.0007716303981936969,0.016753292399311153,0.025710704677484424,-0.0015128029834733526,0.012477182476847763,-0.004850345751045624,0.004879389024724306,-0.03934180134891271,0.004859717833755919,0.018346828100622627,0.007699641137971758,-0.03502186728462169,0.005371968661880433,0.03796352802040199,-0.01142516527032283,0.015085879602129669,-0.01497853952141269,-0.026491424119795586,-0.021294930072846042,0.016988067858182465,-0.031117304252629673,-0.037219850212753695,0.008195123561121925,0.007173303326534545,0.06566955534033389,-0.01473531553630916,0.011167794711572449,-0.016199910600615434,0.036275998305278855,0.06640527244586804,-0.022424068048403793,0.017435443269943316,-0.0524647065516333,0.07030042759708155,-0.02452456467975899,0.06673870993778044,0.022476696452822215,0.018177958562929353,0.07905217940880747
STREET2,0.01464107664363966,0.006196909111249396,0.036997523449413455,0.01543697103759183,0.0019813727936575476,0.29467090388578354,1.0,-0.02094099139389713,0.009663736408448366,-0.03219530092903067,-0.0025223061946060845,-0.026329722658733453,-0.04244408921679117,0.15657628232223036,-0.0007633197189700917,0.010122420339545392,0.0058237010229818574,-0.006193491140153251,0.007339010864966709,0.0039793015769144366,-0.0034647360218280645,-0.007773487214342404,-0.04082125994838113,0.019718261769464857,0.009059011050569948,0.016797440215854758,-0.025971813405329686,0.00653230330205676,0.024495722368656707,-0.027967975155868376,-0.0003371322110656742,-0.0028570722448339808,-0.001622873373547458,-0.0002154040032739693,-0.010276240188329193,-0.0036696948460788774,-0.0026884293933589834,0.018510405171538305,0.007517784363728821,0.02278272736234243,0.019113513382207695,-0.006893824102654511,-0.008236400013833016,0.047887520226108087,0.05469933675478299,0.010340401762659091,0.006300323912516437,-0.006931584784113304,0.0352554995605289,0.012026366199639663,0.01899577410420965,0.0035203423762640053,-0.02648079293942546,-0.0031609212439800156
OFFSET,0.4054039377934826,0.44260494547849366,0.33609597244113243,0.41046616248158324,0.0147648773795619,-0.020973211257453852,-0.02094099139389713,1.0,-0.03612548910135542,-0.020758159869339037,-0.03527498469353565,-0.011451081813762263,0.5232271480692613,-0.18411652798586864,-0.04479628321074547,0.01839566084381831,-0.04140854754153965,-0.07454172673672034,0.009339679872174858,-0.05822828896453952,-0.10293894233481113,0.029739842419390282,0.003818362291161385,0.03651488708622453,-0.16819649511538107,-0.017296703086958933,0.06365459867574597,0.0440347510064632,-0.038432818578753816,0.02461882905661061,-0.002426906893120704,-0.010439005783690945,0.0032707444165432794,-0.0006271821500344064,-0.013044104210290001,-0.01450347551069405,-0.0023083667588474103,0.05745338134388128,-0.017813682333273965,0.011209049537421535,-0.012447425976100546,0.060989719809665346,0.05511321489273851,-0.0369204401296924,-0.08835127597382272,0.0036458457263178323,0.0010907845615089045,0.004960861132579686,-0.030863521146636555,0.0050947536058025085,-0.00811543813710944,-0.018523693147161478,-0.011028870352899154,-0.03515935483615717
ROAD_CLASS,-0.0007691628370767804,0.005819797941858203,-0.028430776740526614,-0.007563235546748606,0.02831456147607805,0.10104523526797367,0.009663736408448366,-0.03612548910135542,1.0,0.15389707364865543,-0.01718391096536095,0.05573871099485608,-0.03261790762971782,0.12124710640906822,-0.0004057828028290261,0.04583788093741679,0.011612776290642987,-0.01346397624086129,-0.043437934670880016,-0.01608839385654914,0.007737057273875962,-0.008981914239363275,-0.023558068162410756,0.012171029970071523,-0.0162469609238023,0.017777256380594058,-0.034130858420834,0.0009606285877047608,0.02552806014351579,0.007438991141048856,0.010950038141218598,0.023790000350022218,0.022144195324302073,0.03029712475317279,0.03261938233797646,0.04813762517543085,-0.0017667553243440538,-0.01877203609736712,-0.008126716677981137,0.04187282991443547,0.016083924046378286,-0.03247139874448679,-0.06463281537221394,-0.001148097011632204,0.04618183693595951,-0.04624143046086179,-0.002962394066051957,0.02504268009416906,0.004980791482821943,0.04641348683709004,0.005053148962952326,0.014791547082919463,0.056344429959270026,-0.015554777611407342
DISTRICT,-0.07342602410491376,-0.08194103534045101,-0.07345959653504182,-0.07909760293823696,-0.03982099812907699,-0.02403486696005772,-0.03219530092903067,-0.020758159869339037,0.15389707364865543,1.0,-0.1947602351598544,0.535977550340647,-0.04649485065171253,-0.025671699206288465,0.008493684301700456,-0.000545770778025209,0.013283792619663101,-0.030418368183615423,-0.07407689385473912,0.008195841405252792,0.004465922402244278,-0.05747793588292986,0.04771491902749518,0.008351956853785472,0.02896225867515666,-0.015846375938437438,-0.024992564174618703,-0.04560549915298257,0.020584755809880607,0.03219998155442695,0.020869792815814307,0.07092337604493507,0.058085474236881686,0.08791831179566885,0.057769753291900816,0.1584443422273423,-0.0816120077508996,-0.0024324113000330516,-0.02149199146617668,0.05189263709784269,0.021425868386629316,-0.058716370412467744,-0.04411131784018896,-0.06400102263294276,-0.04015799254157442,-0.010070588873403842,-0.017890378437778444,0.3011134304974484,0.026255510047383256,0.4756117809817045,-0.018994931570968134,0.3878210058992448,0.5422355371088636,-0.17909894795926606
