feature,importance
INJURY,0.3347770026269625
ACCNUM,0.07140129889123709
DISTANCE_TO_CLUSTER_CENTER,0.04989553988042349
STREET2,0.044573486072534224
NEIGHBOURHOOD_158,0.04242242877536042
TIME,0.042070802147273614
STREET1,0.03564118647380461
x,0.03338936606022503
y,0.032323261327544615
LONGITUDE,0.02952939855561406
LATITUDE,0.026814238980471142
OFFSET,0.019518119253560843
DIVISION,0.01745043444401189
Hour,0.013931766997018185
LIGHT,0.012345542042540028
ACCLOC,0.012272455901911086
IMPACTYPE,0.011349792049156497
ROAD_CLASS,0.011306056489199037
INVAGE,0.009905481380591375
PEDESTRIAN,0.00947306700726218
LOCATION_CLUSTER,0.009032577682750082
PASSENGER,0.008945580345363944
TRSN_CITY_VEH,0.008394911857638498
VEHTYPE,0.008381080872913945
AG_DRIV,0.007886120369205602
TRUCK,0.007704871850928948
TRAFFCTL,0.0074936327835849826
DRIVCOND,0.007353015951197691
SPEEDING,0.007147894980124322
MANOEUVER,0.006471637205976216
TimePeriod,0.006459807250336413
DISABILITY,0.0055081203506609075
PEDTYPE,0.00548170270788522
DRIVACT,0.005397337404061869
INITDIR,0.0049813332363556175
DISTRICT,0.004502960575680284
MOTORCYCLE,0.004197248939696163
INVTYPE,0.004177194832333705
REDLIGHT,0.003735524443756542
VISIBILITY,0.0035483173192263147
RDSFCOND,0.0033936203919741805
ALCOHOL,0.00294136012058715
PEDACT,0.002818011652327976
CYCLIST,0.0019020447710351295
AUTOMOBILE,0.0010095439793801123
PEDCOND,0.0007438227683161828
EMERG_VEH,0.0
CYCCOND,0.0
CYCACT,0.0
CYCLISTYPE,0.0
