,Native Importance,Permutation Importance,SHAP Importance,RF MDI Importance,Average
INJURY,0.3327102814664915,0.05836344713297272,0.03864122010418223,0.2116399873221802,0.16033873400645665
OFFSET,0.019713230785041787,0.0623612494583983,0.4523971458074403,0.01622817384139634,0.13767494997306917
OBJECTID,0.07312982502488986,0.1428622477922751,0.06555120127743073,0.041873896162635565,0.08085429256430782
y,0.03430620671086434,0.0583723807694541,0.15439212272322955,0.03481589602747231,0.07047165155775507
INDEX,0.0478790573500913,0.15035756880016796,0.011307096621128727,0.04629880113070414,0.06396063097552303
LATITUDE,0.018973597560392286,0.0605923894350815,0.014876732082564013,0.033393455317204834,0.03195904359881066
STREET1,0.041716645696566676,0.026943847627896176,0.025925777684381486,0.029024161711003024,0.030902608179961842
TIME,0.051130190970956724,0.025505532154391122,0.00452509010556089,0.03722747410331726,0.029597071833556497
STREET2,0.03581689393970494,0.02177127210516678,0.01864173022199276,0.032311453977761716,0.027135337561156547
DATE,0.036213404157167,0.021976745744238906,0.004241087352633047,0.03811965626807145,0.0251377233805276
FATAL_NO,0.0012430171322039723,0.0005762195530501837,6.143784240313927e-05,0.08548578040545395,0.02184161373327781
LONGITUDE,0.023460871559326076,0.023803674404684803,0.0017861908440275035,0.03244449590875226,0.020373808179197657
x,0.02589211903702454,0.018121881602515703,0.0050365131517734535,0.03155366000944133,0.020151043450188755
PEDESTRIAN,0.007137451738885008,0.05776042667047836,0.002821751084686448,0.007931018151120413,0.01891266191129256
HOOD_158,0.019778163370091476,0.02298624666663688,0.007828172936372387,0.022966992665531146,0.018389893909657975
ACCNUM,0.016794683740750167,0.010564025139253053,0.00904541241723157,0.033081651346719365,0.01737144316098854
ACCLOC,0.010355835141873103,0.03132132950378118,0.010523406735397282,0.009159528150798254,0.015340024882962456
HOOD_140,0.015862317814515223,0.00937138466898645,0.01453991645095004,0.021526076125872547,0.015324923765081065
NEIGHBOURHOOD_140,0.02077766206867277,0.013007374716915399,0.005258651015217233,0.020992620744283035,0.015009077136272109
PEDCOND,0.0016453654327531417,0.0004734827335141199,0.052663092094904364,0.005125182300822774,0.0149767806404986
TRUCK,0.007714823424214683,0.021011913004247956,0.01596219432989968,0.009424489058232233,0.013528354954148638
NEIGHBOURHOOD_158,0.015691542148838798,0.007638259191595228,0.004468884781812987,0.02075906839430127,0.012139438629137071
SPEEDING,0.0075117721042470605,0.025862877613647004,0.005644136023026374,0.00804724014146913,0.011766506470597392
PEDTYPE,0.0039625681487615964,0.012207814251830271,0.025121318967875846,0.004054286271358369,0.011336496909956521
IMPACTYPE,0.00935413266536353,0.014789635194954274,0.007181501304217213,0.012537924756343391,0.0109657984802196
DIVISION,0.017933447162628173,0.009264181031209667,0.001334720335570256,0.013893282104726795,0.010606407658533722
PASSENGER,0.006037107017325376,0.01930112161806022,0.0020390397432358126,0.006653225057321757,0.008507623358985791
INVAGE,0.005711602506882718,0.005632657801521399,0.007724682431610819,0.014577205067537034,0.008411536951887993
LIGHT,0.01070215070468073,0.005650525074484195,0.004381902910410347,0.011958324488818018,0.008173225794598322
VEHTYPE,0.009667122486174866,0.008875567844268843,0.0029213992908462484,0.011126239304737209,0.008147582231506792
TRAFFCTL,0.008265800035945712,0.007848199648908101,0.0005474923457631109,0.008476610361365359,0.006284525597995571
DRIVCOND,0.003602083100916351,0.008893435117231648,0.000973891552792994,0.009435513203988758,0.005726230743732437
ROAD_CLASS,0.0057841976298880155,0.002894498219972922,0.00040759944368148323,0.008057917735909907,0.004286053257363082
VISIBILITY,0.004558507030799415,0.004949234610694471,0.002277278457237765,0.0042748773774568495,0.0040149743690471255
TRSN_CITY_VEH,0.005876063065484083,0.00519490961393291,0.00038801849012562646,0.00378945788079934,0.00381211226258549
PEDACT,0.002741056479143269,0.0019564663894261654,0.00680846598656023,0.0028052744383165536,0.003577815823361554
DISTRICT,0.0027309779240618413,0.001116704560174717,0.003424614605875284,0.006129406102348568,0.0033504257981151024
AG_DRIV,0.0057957997468036145,0.0013847136546166715,0.001173013593595738,0.005043997940536887,0.0033493812338882276
DRIVACT,0.003014650398296163,0.001299844108043386,0.00246816140839035,0.006174230312694407,0.0032392215568560765
ALCOHOL,0.006040883714519089,0.0022378759385901894,0.0002504587793770508,0.002939187854138797,0.0028671015716562817
