feature,importance
y,0.12425095814691593
HOUR,0.11043848313865612
LONGITUDE,0.10687564462214542
NEIGHBOURHOOD_158,0.10283957431218116
LATITUDE,0.09829908959560826
x,0.09030054983283
ACCLOC,0.03909684279145535
ROAD_CLASS,0.03625465496370709
LIGHT,0.033024779275096075
IMPACTYPE,0.03194164768252361
INVAGE,0.02931238308030767
PASSENGER,0.02432028045013034
TRAFFCTL,0.018004143370059712
RDSFCOND,0.016927628828044643
PEDCOND,0.016082021727240034
DISTRICT,0.01607962489167594
VISIBILITY,0.015965382671112957
PEDESTRIAN,0.014186611565598323
SPEEDING,0.011888905387851109
TRUCK,0.009792855848576358
AG_DRIV,0.008305215309586406
ALCOHOL,0.007780148108211695
MOTORCYCLE,0.006965312551826613
TRSN_CITY_VEH,0.0063806215975226585
REDLIGHT,0.006345700108085914
AUTOMOBILE,0.004816136431382641
DISABILITY,0.004749211902187103
INVTYPE,0.003516699754479393
CYCLIST,0.003132612066346117
CYCCOND,0.0019081120801039868
EMERG_VEH,0.00021816790855145717
MONTH,0.0
DAY,0.0
WEEK,0.0
DAYOFWEEK,0.0
