feature,importance
LONGITUDE,0.11794587751226451
y,0.10168803080656215
x,0.09916653478925987
PEDESTRIAN,0.09778445956638704
HOUR,0.09680856675634324
LATITUDE,0.08976103813894601
NEIGHBOURHOOD_158,0.07832990452075746
SPEEDING,0.06761090889908736
LIGHT,0.06224086089571128
TRAFFCTL,0.06204040723743204
DISTRICT,0.05948198554623617
ACCLOC,0.041878989291554494
TRUCK,0.03821807247982271
AG_DRIV,0.03811784565068308
IMPACTYPE,0.027504351954423124
PASSENGER,0.02509363295880145
ROAD_CLASS,0.024312918710766407
RDSFCOND,0.022598512422851647
VISIBILITY,0.0208049796908793
INVAGE,0.014517064936435054
PEDCOND,0.010845597932162221
REDLIGHT,0.010724270717940554
TRSN_CITY_VEH,0.008851611541910609
MOTORCYCLE,0.007828242865432222
CYCLIST,0.006878725536741015
ALCOHOL,0.004478556733660333
AUTOMOBILE,0.0033496861317718674
DISABILITY,0.003054280740623483
INVTYPE,0.0025795220762778294
CYCCOND,0.0005011341456980789
EMERG_VEH,0.00014242759930358507
MONTH,0.0
DAY,0.0
WEEK,0.0
DAYOFWEEK,0.0
