feature,importance
INJURY,0.21163998732218026
FATAL_NO,0.08548578040545396
INDEX,0.04629880113070415
OBJECTID,0.04187389616263557
DATE,0.038119656268071456
TIME,0.03722747410331727
y,0.034815896027472315
LATITUDE,0.03339345531720484
ACCNUM,0.03308165134671937
LONGITUDE,0.032444495908752265
STREET2,0.03231145397776172
x,0.031553660009441334
STREET1,0.02902416171100303
HOOD_158,0.02296699266553115
HOOD_140,0.02152607612587255
NEIGHBOURHOOD_140,0.020992620744283038
NEIGHBOURHOOD_158,0.020759068394301274
OFFSET,0.016228173841396343
INVAGE,0.014577205067537038
DIVISION,0.013893282104726798
IMPACTYPE,0.012537924756343395
LIGHT,0.011958324488818022
VEHTYPE,0.01112623930473721
DRIVCOND,0.00943551320398876
TRUCK,0.009424489058232234
ACCLOC,0.009159528150798256
TRAFFCTL,0.00847661036136536
ROAD_CLASS,0.008057917735909909
SPEEDING,0.008047240141469132
PEDESTRIAN,0.007931018151120415
INVTYPE,0.007571947247966804
PASSENGER,0.006653225057321759
INITDIR,0.006502108836577194
DRIVACT,0.006174230312694409
DISTRICT,0.00612940610234857
MANOEUVER,0.005776218254101805
RDSFCOND,0.005174360360189867
PEDCOND,0.0051251823008227745
AG_DRIV,0.005043997940536888
VISIBILITY,0.00427487737745685
PEDTYPE,0.00405428627135837
TRSN_CITY_VEH,0.003789457880799341
AUTOMOBILE,0.0034999914288197857
ALCOHOL,0.0029391878541387977
PEDACT,0.002805274438316554
DISABILITY,0.002583408488382712
MOTORCYCLE,0.002557488233914753
REDLIGHT,0.0023100269610260545
CYCLIST,0.0023081337879117154
CYCLISTYPE,0.00012307515502469704
CYCCOND,8.791438186905692e-05
EMERG_VEH,7.625845445814851e-05
CYCACT,7.134888681465949e-05
