feature,importance
OFFSET,0.47895477767312084
y,0.16345559537385004
OBJECTID,0.06939933490960032
PEDCOND,0.05575463903706878
INJURY,0.04090962366923127
STREET1,0.027447730830978807
PEDTYPE,0.02659604697469921
STREET2,0.019736078878174915
TRUCK,0.01689924286062221
LATITUDE,0.015750059374025887
HOOD_140,0.01539347123581255
INDEX,0.011970871165943017
ACCLOC,0.011141175358920964
ACCNUM,0.009576416503522471
HOOD_158,0.008287719900697293
INVAGE,0.008178154064222159
IMPACTYPE,0.007603085900070269
PEDACT,0.007208151826572222
SPEEDING,0.0059754707542210815
NEIGHBOURHOOD_140,0.0055673561409380545
x,0.005332177842435297
TIME,0.004790732093571291
NEIGHBOURHOOD_158,0.004731227278854399
LIGHT,0.004639139202558321
DATE,0.004490057174094661
DISTRICT,0.0036256540130146487
VEHTYPE,0.003092897823977973
PEDESTRIAN,0.0029873998453344313
DRIVACT,0.0026130529548480967
VISIBILITY,0.002410964364594723
PASSENGER,0.0021587400272941874
LONGITUDE,0.0018910478249283577
DIVISION,0.0014130740821493742
INITDIR,0.0012790405176334677
AG_DRIV,0.0012418744683401037
DRIVCOND,0.001031063118917731
RDSFCOND,0.0008798974403532865
REDLIGHT,0.0008737749241825243
MANOEUVER,0.0007067688705812531
TRAFFCTL,0.0005796324693310953
INVTYPE,0.00046738658468932314
ROAD_CLASS,0.00043152726036703893
TRSN_CITY_VEH,0.00041079682176041487
ALCOHOL,0.0002651617723598019
MOTORCYCLE,0.00018372316354682086
DISABILITY,0.00013657199578322627
CYCLIST,0.00011397386094395563
FATAL_NO,6.504450441744555e-05
EMERG_VEH,3.5879380666833694e-05
AUTOMOBILE,2.0958633510387868e-05
CYCCOND,0.0
CYCACT,0.0
CYCLISTYPE,0.0
