feature,importance
PEDESTRIAN,0.1710649616414665
LONGITUDE,0.07763640469029887
SPEEDING,0.07190234705562533
AG_DRIV,0.06858747175010264
DAY,0.06759752872787807
NEIGHBOURHOOD_158,0.06351412264116825
WEEK,0.05622893316191054
LATITUDE,0.05607136268942225
HOUR,0.04656087221058074
DAYOFWEEK,0.04157392668354207
TRUCK,0.0338256270073502
PASSENGER,0.028135526883967234
DISTRICT,0.022509116845937257
ACCLOC,0.022245378621343383
LIGHT,0.021755951884313614
MONTH,0.018722166672661154
TRAFFCTL,0.015717848492643422
ROAD_CLASS,0.014113882023840587
IMPACTYPE,0.01272334967488442
INVAGE,0.012449427480003664
REDLIGHT,0.01234962460671946
AUTOMOBILE,0.011140259753736526
TRSN_CITY_VEH,0.009553078190460326
MOTORCYCLE,0.007398861610093788
VISIBILITY,0.007058116693479711
PEDCOND,0.005859937662845681
ALCOHOL,0.005804132113893623
RDSFCOND,0.005649800717190196
INVTYPE,0.005440350798779506
CYCLIST,0.003514607574488584
DISABILITY,0.002718825284817872
EMERG_VEH,0.0004047409540139739
CYCCOND,0.000171457200540648
