feature,importance
DISTRICT,0.16141295738951372
IMPACTYPE,0.13956386292834894
NEIGHBOURHOOD_158,0.13130049105021388
LONGITUDE,0.1279529014203496
LATITUDE,0.1163313796926976
AG_DRIV,0.11105126986641327
HOUR,0.10334758962986434
PASSENGER,0.10025872538148799
PEDESTRIAN,0.08490944611647926
ACCLOC,0.07390569723850261
AUTOMOBILE,0.061967368921273594
TRAFFCTL,0.05988700564971757
CYCLIST,0.05671365964412062
LIGHT,0.05171867574845562
SPEEDING,0.040049633032367124
ROAD_CLASS,0.032377633454775887
INVAGE,0.020777232166429117
MOTORCYCLE,0.01632081947304509
TRSN_CITY_VEH,0.016236337715824535
VISIBILITY,0.015454881461534453
TRUCK,0.013775806536776004
RDSFCOND,0.013659644120597735
REDLIGHT,0.010011088230635234
INVTYPE,0.009910766143935846
DISABILITY,0.005174507629758751
ALCOHOL,0.003104704577855255
PEDCOND,0.0024869317281799863
EMERG_VEH,0.0005227308728021684
CYCCOND,0.00012144252600461147
MONTH,0.0
DAY,0.0
WEEK,0.0
DAYOFWEEK,0.0
