feature,importance
PEDESTRIAN,0.112985390187477
SPEEDING,0.053795663471083936
AG_DRIV,0.05126834490997119
DISTRICT,0.04571981634457843
LONGITUDE,0.03316809126698045
DAY,0.03219431192229222
NEIGHBOURHOOD_158,0.029541043731536015
TRUCK,0.029411228008589415
WEEK,0.028704204120333993
LATITUDE,0.025291636213343707
PASSENGER,0.0251648371450994
HOUR,0.021459171830615
LIGHT,0.020813119541208413
DAYOFWEEK,0.02057174828914163
MONTH,0.018110684819038415
TRAFFCTL,0.01511341192515378
ACCLOC,0.013437195182509276
REDLIGHT,0.012824624821283999
IMPACTYPE,0.01113590207132569
INVAGE,0.008928905293881326
AUTOMOBILE,0.008625988532572241
ROAD_CLASS,0.008335243132984373
TRSN_CITY_VEH,0.007633086368674429
MOTORCYCLE,0.005368442082181329
INVTYPE,0.005256840993656672
PEDCOND,0.004949501396007175
RDSFCOND,0.0047690208132585106
ALCOHOL,0.00442324487045822
VISIBILITY,0.0030040353700989597
CYCLIST,0.0023032963058889477
DISABILITY,0.001592114104657611
EMERG_VEH,0.00018408494726147718
CYCCOND,0.00018322000478628015
