iter	Logloss
0	0.6316937649
1	0.5808343944
2	0.539509394
3	0.5092119587
4	0.486241043
5	0.4670615352
6	0.4523843044
7	0.439902625
8	0.4304649079
9	0.4201027004
10	0.4147605938
11	0.4077780971
12	0.4020325456
13	0.3992317557
14	0.3963241312
15	0.3934660646
16	0.3910513644
17	0.3891575009
18	0.3870119378
19	0.3854631825
20	0.3842386737
21	0.3823725031
22	0.3809136336
23	0.3797095784
24	0.3788967532
25	0.3780415676
26	0.3773493623
27	0.3761667772
28	0.3750202709
29	0.3737522487
30	0.3728493614
31	0.3721109907
32	0.3713345033
33	0.3704029682
34	0.3696256207
35	0.3686955565
36	0.3681546167
37	0.3675126377
38	0.3669945418
39	0.3663328523
40	0.3660009462
41	0.3654842462
42	0.3648034027
43	0.3645562299
44	0.3638364586
45	0.3631754823
46	0.3625676731
47	0.3623323949
48	0.3613675266
49	0.3611239904
50	0.3608244638
51	0.3605815517
52	0.3601824678
53	0.3599020847
54	0.3595085024
55	0.3591538857
56	0.3586505578
57	0.3581593631
58	0.3577025218
59	0.3574451912
60	0.3568417931
61	0.3566989571
62	0.3561818359
63	0.3560689254
64	0.355841743
65	0.3553661751
66	0.3548687524
67	0.3545762012
68	0.3543696862
69	0.3541368189
70	0.353940181
71	0.3534485086
72	0.3527431818
73	0.3523755451
74	0.3522367176
75	0.3520575374
76	0.3515124837
77	0.3512185481
78	0.3511841886
79	0.35098773
80	0.3503991973
81	0.3501214117
82	0.3498378042
83	0.3495891221
84	0.3492147236
85	0.3488748048
86	0.3486658714
87	0.3483695444
88	0.347896554
89	0.3476396908
90	0.3473961023
91	0.346893131
92	0.3464300318
93	0.3460865943
94	0.3454025544
95	0.3451910834
96	0.3449406285
97	0.3447505079
98	0.344208575
99	0.3439657154
