iter	Passed	Remaining
0	99	9859
1	195	9561
2	280	9061
3	372	8931
4	466	8854
5	536	8412
6	623	8278
7	709	8164
8	798	8078
9	887	7990
10	949	7681
11	1037	7610
12	1135	7598
13	1203	7392
14	1289	7306
15	1376	7227
16	1463	7144
17	1548	7052
18	1636	6975
19	1723	6894
20	1811	6814
21	1930	6843
22	2016	6752
23	2105	6668
24	2192	6576
25	2280	6491
26	2368	6403
27	2455	6314
28	2540	6219
29	2625	6125
30	2708	6028
31	2808	5967
32	2891	5869
33	2992	5809
34	3079	5719
35	3166	5629
36	3260	5552
37	3357	5477
38	3441	5382
39	3527	5290
40	3611	5197
41	3694	5102
42	3781	5012
43	3866	4920
44	3997	4885
45	4079	4788
46	4162	4694
47	4248	4602
48	4334	4510
49	4416	4416
50	4504	4327
51	4588	4235
52	4674	4145
53	4757	4052
54	4844	3963
55	4931	3874
56	5016	3784
57	5098	3692
58	5187	3604
59	5271	3514
60	5352	3421
61	5447	3338
62	5531	3248
63	5618	3160
64	5703	3070
65	5787	2981
66	5870	2891
67	5978	2813
68	6061	2723
69	6143	2632
70	6227	2543
71	6309	2453
72	6420	2374
73	6559	2304
74	6644	2214
75	6752	2132
76	6838	2042
77	6925	1953
78	7016	1865
79	7101	1775
80	7184	1685
81	7267	1595
82	7355	1506
83	7439	1417
84	7524	1327
85	7623	1241
86	7704	1151
87	7787	1061
88	7875	973
89	8000	888
90	8084	799
91	8170	710
92	8261	621
93	8351	533
94	8438	444
95	8908	371
96	9057	280
97	9171	187
98	9304	93
99	9424	0
