Classifier,Class Imbalance,Train Accuracy,Test Accuracy,Unseen Accuracy (10),Precision,Recall,F1 Score,Unseen Accuracy (6000),ROC AUC
LogisticRegression,Oversampling,0.9162,0.8958,1.0,0.8958,0.8958,0.8958,0.8962,0.963
RandomForest,Oversampling,1,0.941,1,0.9413,0.941,0.941,0.7837,0.9882
SVC,Oversampling,0.9954,0.9479,1,0.9482,0.9479,0.9479,0.9684,0.9837
DecisionTreeClassifier,Oversampling,1,0.9126,1.0,0.9142,0.9126,0.9125,0.3654,0.9126
MLPClassifier,Oversampling,0.9768,0.9236,1.0,0.9255,0.9236,0.9235,0.8297,0.9624
HardVotingClassifier,Oversampling,0.9971,0.9416,1.0,0.9422,0.9416,0.9415,0.8709,0.9416
SoftVotingClassifier,Oversampling,0.9987,0.9497,1.0,0.9499,0.9497,0.9496,0.6134,0.9888
LogisticRegression,Undersampling,0.9151,0.8973,1.0,0.8973,0.8973,0.8973,0.2783,0.9578
RandomForest,Undersampling,1,0.9062,1.0,0.9062,0.9062,0.9062,0.2914,0.9728
SVC,Undersampling,0.9931,0.9131,1.0,0.9138,0.9131,0.9131,0.2658,0.9651
DecisionTreeClassifier,Undersampling,1,0.8746,1.0,0.8747,0.8746,0.8746,0.5406,0.8746
MLPClassifier,Undersampling,0.9724,0.8727,1.0,0.8749,0.8727,0.8725,0.2654,0.9517
HardVotingClassifier,Undersampling,0.9963,0.921,1.0,0.921,0.921,0.921,0.297,0.921
SoftVotingClassifier,Undersampling,0.9953,0.9161,1.0,0.9162,0.9161,0.9161,0.347,0.9736
