feature,importance
PASSENGER,0.023994075536904448
DRIVACT,0.023994075536904448
MANOEUVER,0.018267094544556883
VEHTYPE,0.014169340903480609
CYCLIST,0.011848926191063924
INVTYPE,0.009725993581831637
LONGITUDE,0.008590471488521345
PEDESTRIAN,0.008343618859540847
INITDIR,0.008343618859540847
DIVISION,0.006566279930881258
DISTRICT,0.00622068625030856
AG_DRIV,0.003604048383115277
HOUR,0.0031597136509503797
DRIVCOND,0.0024191557640088845
LIGHT,0.0023697852382127847
IMPACTYPE,0.002221673660824486
ROAD_CLASS,0.001876079980251788
SPEEDING,0.001727968402863489
PEDCOND,0.0014317452480868908
HOOD_140,0.0013823747222907912
AVG_AGE,0.0013823747222907912
LATITUDE,0.0013330041964946914
DISABILITY,0.0012342631449024921
CYCACT,0.0010367810417180935
HOOD_158,0.0008392989385336946
VISIBILITY,0.0004937052579609968
TRAFFCTL,0.0004443347321648972
MINUTE,0.0004443347321648972
SEASON,0.0003455936805726978
ACCLOC,0.00019748210318439873
RDSFCOND,0.00004937052579609968
MOTORCYCLE,0.0
ALCOHOL,0.0
REDLIGHT,0.0
TRSN_CITY_VEH,0.0
TRUCK,0.0
AUTOMOBILE,0.0
