feature,importance
INJURY,0.17292225161009678
ACCNUM,0.062161986940784696
y,0.05861334298789661
DISTANCE_TO_CLUSTER_CENTER,0.05489603199030479
x,0.05476907916802895
STREET2,0.050685296175846765
STREET1,0.04975897194537918
NEIGHBOURHOOD_158,0.04266431617937219
OFFSET,0.03149558625280837
INVAGE,0.02735648797954722
DIVISION,0.027326986537478094
IMPACTYPE,0.02440483378140455
TimePeriodEncoded,0.022290772101806
LOCATION_CLUSTER,0.02103992821571966
INVTYPE,0.0195677808905967
LIGHT,0.01666720924990574
ACCLOC,0.01630838745188977
VEHTYPE,0.01580741874272247
PEDESTRIAN,0.01566809018261568
SPEEDING,0.014817079729774219
TRAFFCTL,0.014054356430424844
DRIVCOND,0.013964836409804803
DISTRICT,0.013722882598552352
PEDTYPE,0.013270419450561899
ROAD_CLASS,0.012349731421811833
INITDIR,0.011707962945703804
TRUCK,0.011410279529370944
MANOEUVER,0.010980802602657372
DRIVACT,0.01044332648786512
AG_DRIV,0.010177053946609997
PEDCOND,0.009583532557465224
PASSENGER,0.009502299363507275
RDSFCOND,0.008900481374694425
PEDACT,0.00885757701032821
VISIBILITY,0.0073271493015855775
AUTOMOBILE,0.0066343198975594864
CYCLIST,0.005878029711462435
TRSN_CITY_VEH,0.005816876640816305
MOTORCYCLE,0.004551883310512316
REDLIGHT,0.004068623774904518
ALCOHOL,0.0033911661165192514
DISABILITY,0.002591124072817084
CYCLISTYPE,0.0008199191715975385
CYCACT,0.0003357237854835811
CYCCOND,0.00028380210445879116
EMERG_VEH,0.00015400186894662637
