feature,importance_mean,importance_std
INJURY,0.29409082399729625,0.0032377726185971543
y,0.11739462461925028,0.0026026027338509595
PEDESTRIAN,0.09420131350378409,0.0026221641315598066
ACCNUM,0.06625752791979982,0.0025541823990804097
OFFSET,0.06469368831600915,0.0030542335997697442
SPEEDING,0.06007625082576905,0.002433073352039527
x,0.048787518281264874,0.002330737569838278
IMPACTYPE,0.04865013070518679,0.002907728615126232
DISTANCE_TO_CLUSTER_CENTER,0.043729391764384395,0.002582449593357934
STREET1,0.03280728592295022,0.0023140602290427858
STREET2,0.03147070198376445,0.0023154077980769377
TRUCK,0.02995441447391577,0.0009616268835408246
ACCLOC,0.027189044558286447,0.0009571094704070723
DISTRICT,0.020410324467989804,0.0014855900417867845
NEIGHBOURHOOD_158,0.01984622301167438,0.0018094409204270792
TRAFFCTL,0.01687282853402535,0.0010753407031311366
INVAGE,0.016350037989872668,0.0009567301597122568
LIGHT,0.015498982581026177,0.0005199107959816122
AG_DRIV,0.014709173505287287,0.0012803131772822541
INVTYPE,0.012861245050024107,0.0011638059482285798
AUTOMOBILE,0.011670625924959887,0.0006541764774367562
DIVISION,0.011613187102773615,0.0006963050031523497
MANOEUVER,0.010082518446927613,0.0007880754172199968
TimePeriodEncoded,0.009300384610938262,0.0011110906765194881
PEDTYPE,0.009167396193740828,0.0013300402833303002
CYCLIST,0.008784453569173923,0.0003101996477184916
DRIVCOND,0.008308782563143135,0.000794100463323922
VEHTYPE,0.007927850297307725,0.0005772465314529138
LOCATION_CLUSTER,0.007662142472218414,0.0009508033496475974
PEDACT,0.005953552178271071,0.0008527405071247577
TRSN_CITY_VEH,0.003174859071657521,0.00013189191742707303
INITDIR,0.002384130862137246,0.00042949558266748697
PEDCOND,0.001725895890040041,0.0002761191702774049
DRIVACT,0.0016507857481047217,0.00035455885503428354
ROAD_CLASS,0.001481673270731554,0.0002841829788110635
PASSENGER,0.0013689903830468753,0.00027916976369333124
RDSFCOND,0.0010498970043187783,0.0003272500014642985
MOTORCYCLE,0.0010122680306948295,9.19304620178857e-05
VISIBILITY,0.0005996510185317771,0.00020199540342255657
REDLIGHT,0.0001873150279888325,0.00011848174198013564
ALCOHOL,0.00018730099269526068,0.0
CYCCOND,0.0,0.0
DISABILITY,0.0,0.0
EMERG_VEH,0.0,0.0
CYCACT,0.0,0.0
CYCLISTYPE,0.0,0.0
