feature,importance
LATITUDE,0.10812313465742324
LONGITUDE,0.10382067621534427
NEIGHBOURHOOD_158,0.10017385452751251
HOUR,0.08245568112336552
DISTRICT,0.06058973341873954
IMPACTYPE,0.053589751850747484
INVAGE,0.047257856012260166
ACCLOC,0.046917021763745695
ROAD_CLASS,0.044812790093037104
LIGHT,0.04008466777371233
AG_DRIV,0.03616088990026967
AUTOMOBILE,0.02865377048709891
TRAFFCTL,0.028346276361879953
CYCLIST,0.027817665481711232
PASSENGER,0.025938744587135118
INVTYPE,0.02436869788831718
RDSFCOND,0.0204971108006958
VISIBILITY,0.017178422294079464
PEDCOND,0.016565739904361887
PEDESTRIAN,0.01606127716632967
TRSN_CITY_VEH,0.013149383036286934
MOTORCYCLE,0.012662307518073403
SPEEDING,0.011074433711880115
TRUCK,0.008855942700176088
DISABILITY,0.007719802567719426
ALCOHOL,0.007556474814592999
REDLIGHT,0.006779924298404341
CYCCOND,0.0023932793000553524
EMERG_VEH,0.00039468974504467953
MONTH,0.0
DAY,0.0
WEEK,0.0
DAYOFWEEK,0.0
