feature,importance
DISTRICT,0.06114367178837314
AG_DRIV,0.05202492211838
CYCLIST,0.04017107555837155
ACCLOC,0.030592956333491673
AUTOMOBILE,0.027651935160251294
PASSENGER,0.02684407835682977
LATITUDE,0.02463171233961662
PEDESTRIAN,0.021109879085484916
IMPACTYPE,0.019409683721421333
NEIGHBOURHOOD_158,0.017413802207085872
LIGHT,0.01724483869264477
LONGITUDE,0.014868789270816784
HOUR,0.011742964253656419
ROAD_CLASS,0.00808384814404135
TRAFFCTL,0.007587517820370604
MOTORCYCLE,0.005734199271344787
TRSN_CITY_VEH,0.005037224774275229
SPEEDING,0.0038333597338824133
RDSFCOND,0.002930460953587799
INVAGE,0.0027245366703627094
DISABILITY,0.002703416231057554
VISIBILITY,0.0019800411848565846
TRUCK,0.0018585986588520397
REDLIGHT,0.0010243413062991258
ALCOHOL,0.0002059242832250341
PEDCOND,8.448175722051144e-05
EMERG_VEH,5.280109826277801e-05
DAY,0.0
WEEK,0.0
DAYOFWEEK,0.0
MONTH,0.0
CYCCOND,-1.0560219652588909e-05
INVTYPE,-1.0560219652611113e-05
