feature,importance
AG_DRIV,0.06225916695918689
DISTRICT,0.05996690811962786
PASSENGER,0.04277158742204485
LATITUDE,0.04026140787081163
AUTOMOBILE,0.037753465734968086
CYCLIST,0.035995502132680116
ACCLOC,0.035143038624029656
NEIGHBOURHOOD_158,0.035138785628401795
IMPACTYPE,0.03441835648800618
LIGHT,0.030490228686209448
HOUR,0.029026518744321952
LONGITUDE,0.028828629731220665
PEDESTRIAN,0.023124251321446965
ROAD_CLASS,0.02016870731326791
TRAFFCTL,0.01859867245423905
INVAGE,0.017519551375454995
MOTORCYCLE,0.015272280276247293
INVTYPE,0.011278745693335172
RDSFCOND,0.01126799636117824
SPEEDING,0.010085562585155814
VISIBILITY,0.009402857408559822
PEDCOND,0.006960868060552161
REDLIGHT,0.00598517024475253
TRSN_CITY_VEH,0.005313050157249038
DISABILITY,0.0041456241386169405
TRUCK,0.0036806987766935697
ALCOHOL,0.002543327386136767
CYCCOND,0.001070358587000207
EMERG_VEH,0.0001378470415078637
MONTH,0.0
DAY,0.0
WEEK,0.0
DAYOFWEEK,0.0
