DATE,TIME,ROAD_CLASS,DISTRICT,LATITUDE,LONGITUDE,ACCLOC,TRAFFCTL,VISIBILITY,LIGHT,RDSFCOND,ACCLASS,IMPACTYPE,INVTYPE,INVAGE,PEDCOND,CYCCOND,PEDESTRIAN,CYCLIST,AUTOMOBILE,MOTORCYCLE,TRUCK,TRSN_CITY_VEH,EMERG_VEH,PASSENGER,SPEEDING,AG_DRIV,REDLIGHT,ALCOHOL,DISABILITY,NEIGHBOURHOOD_158
1/4/2020 10:00:00 AM,1850,Major Arterial,North York,43.710967,-79.377116,Intersection Related,Traffic Signal,Rain,Dark,Wet,Non-Fatal Injury,Pedestrian Collisions,Driver,75 to 79,,,Yes,,Yes,,,,,,,,,,,Leaside-Bennington
1/6/2020 10:00:00 AM,1555,Minor Arterial,Toronto and East York,43.649699,-79.43365,At Intersection,Traffic Signal,Clear,"Dawn, artificial",Dry,Non-Fatal Injury,Pedestrian Collisions,Driver,50 to 54,,,Yes,,Yes,,,,,,,Yes,,,,Little Portugal
1/7/2020 10:00:00 AM,1850,Major Arterial,Scarborough,43.725577,-79.297481,At Intersection,Traffic Signal,Clear,Dark,Dry,Non-Fatal Injury,Turning Movement,Driver,50 to 54,,,,,Yes,,,,,Yes,,Yes,,,,Clairlea-Birchmount
1/7/2020 10:00:00 AM,1850,Major Arterial,Scarborough,43.725577,-79.297481,At Intersection,Traffic Signal,Clear,Dark,Dry,Non-Fatal Injury,Turning Movement,Passenger,20 to 24,,,,,Yes,,,,,Yes,,Yes,,,,Clairlea-Birchmount
1/9/2020 10:00:00 AM,1100,Major Arterial,Etobicoke York,43.701876,-79.575588,At Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Angle,Driver,50 to 54,,,,,Yes,,,,,,Yes,Yes,Yes,,,West Humber-Clairville
1/9/2020 10:00:00 AM,1100,Major Arterial,Etobicoke York,43.701876,-79.575588,At Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Angle,Driver,55 to 59,,,,,Yes,,,,,,Yes,Yes,Yes,,,West Humber-Clairville
1/9/2020 10:00:00 AM,1100,Major Arterial,Etobicoke York,43.701876,-79.575588,At Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Angle,Driver,35 to 39,,,,,Yes,,,,,,Yes,Yes,Yes,,,West Humber-Clairville
1/10/2020 10:00:00 AM,1721,Collector,Toronto and East York,43.680693,-79.348178,At Intersection,Stop Sign,Rain,"Dark, artificial",Wet,Non-Fatal Injury,Pedestrian Collisions,Driver,55 to 59,,,Yes,,Yes,,,,,,,Yes,,,,Playter Estates-Danforth
1/11/2020 10:00:00 AM,1625,Local,Toronto and East York,43.639331,-79.39796,At Intersection,Traffic Signal,Rain,Dark,Wet,Non-Fatal Injury,Pedestrian Collisions,Driver,unknown,,,Yes,,Yes,,,,,,,,,,,Harbourfront-CityPlace
1/11/2020 10:00:00 AM,1938,Minor Arterial,Etobicoke York,43.691981,-79.502734,At Intersection,No Control,Rain,"Dark, artificial",Wet,Non-Fatal Injury,Pedestrian Collisions,Driver,40 to 44,,,Yes,,Yes,,,,,,,Yes,,,,Mount Dennis
1/11/2020 10:00:00 AM,2257,Major Arterial,Etobicoke York,43.678935,-79.438586,At Intersection,Traffic Signal,Rain,"Dark, artificial",Wet,Non-Fatal Injury,Pedestrian Collisions,Driver,20 to 24,,,Yes,,Yes,,,,,Yes,,,,,,Corso Italia-Davenport
1/11/2020 10:00:00 AM,2257,Major Arterial,Etobicoke York,43.678935,-79.438586,At Intersection,Traffic Signal,Rain,"Dark, artificial",Wet,Non-Fatal Injury,Pedestrian Collisions,Passenger,15 to 19,,,Yes,,Yes,,,,,Yes,,,,,,Corso Italia-Davenport
1/11/2020 10:00:00 AM,2257,Major Arterial,Etobicoke York,43.678935,-79.438586,At Intersection,Traffic Signal,Rain,"Dark, artificial",Wet,Non-Fatal Injury,Pedestrian Collisions,Passenger,10 to 14,,,Yes,,Yes,,,,,Yes,,,,,,Corso Italia-Davenport
1/12/2020 10:00:00 AM,330,Minor Arterial,Toronto and East York,43.643897,-79.388675,Intersection Related,No Control,Rain,"Dark, artificial",Wet,Non-Fatal Injury,Pedestrian Collisions,Driver,30 to 34,,,Yes,,Yes,,,,,,,,,,,Harbourfront-CityPlace
1/14/2020 10:00:00 AM,1356,Major Arterial,North York,43.650023,-79.34885,Non Intersection,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Turning Movement,Driver,65 to 69,,,,,Yes,,,,,Yes,,,,,,St Lawrence-East Bayfront-The Islands
1/14/2020 10:00:00 AM,1356,Major Arterial,North York,43.650023,-79.34885,Non Intersection,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Turning Movement,Passenger,45 to 49,,,,,Yes,,,,,Yes,,,,,,St Lawrence-East Bayfront-The Islands
1/14/2020 10:00:00 AM,1812,Minor Arterial,Scarborough,43.80511,-79.22665,At Intersection,Traffic Signal,Rain,Dark,Wet,Non-Fatal Injury,Pedestrian Collisions,Driver,25 to 29,,,Yes,,Yes,,,,,,,Yes,,,,Malvern West
1/16/2020 10:00:00 AM,540,Minor Arterial,Scarborough,43.764796,-79.184848,At Intersection,Traffic Signal,Rain,"Dark, artificial",Wet,Non-Fatal Injury,Pedestrian Collisions,Driver,60 to 64,,,Yes,,Yes,,,,,,,Yes,,,,West Hill
