Feature,Grouped_Importance
PEDESTRIAN,0.06635887680746731
DRIVCOND,0.033956574234489896
INVAGE,0.03360987164554561
DISTRICT,0.03152752763654508
ROAD_CLASS,0.0302068292831784
PEDCOND,0.02214369750849415
DRIVACT,0.019725267133334466
PASSENGER,0.01201707080992067
CYCACT,0.011120453783016826
LATITUDE,0.009515356799118248
HOOD_158,0.009177014740607675
MONTH,0.008567983875796057
TRSN_CITY_VEH,0.007885677847267528
REDLIGHT,0.004952693786375634
DIVISION,0.004569500353930705
HOOD_140,0.0033408803366293607
INVTYPE,0.0033041069168376408
ACCLOC,0.0025293175386066936
TRAFFCTL,0.0018345393366384106
IMPACTYPE,0.0012990204700133628
HOUR,0.0
SEASON,0.0
DISABILITY,0.0
ALCOHOL,0.0
AG_DRIV,0.0
CYCLIST,0.0
SPEEDING,0.0
TRUCK,0.0
MOTORCYCLE,0.0
AUTOMOBILE,0.0
MANOEUVER,0.0
VEHTYPE,0.0
INITDIR,0.0
RDSFCOND,0.0
LIGHT,0.0
VISIBILITY,0.0
LONGITUDE,0.0
MINUTE,0.0
