Original Feature,Importance
VEHTYPE,0.04137250061713153
PASSENGER,0.02986916810664031
INITDIR,0.024339669217477145
RDSFCOND,0.016489755615897293
INVTYPE,0.016391014564305095
IMPACTYPE,0.0159960503579363
DISTRICT,0.014761787213033806
PEDESTRIAN,0.011108368304122429
HOOD_158,0.009627252530239438
DIVISION,0.00933102937546284
CYCLIST,0.008343618859540847
LIGHT,0.008244877807948648
MANOEUVER,0.006072574672920261
LATITUDE,0.005726980992347563
LONGITUDE,0.005332016785978766
AG_DRIV,0.004196494692668473
SEASON,0.004097753641076274
INVAGE,0.0032090841767464795
ROAD_CLASS,0.0022710441866205856
VISIBILITY,0.002172303135028386
TRAFFCTL,0.002073562083436187
ACCLOC,0.001876079980251788
DRIVCOND,0.0013330041964946914
DRIVACT,0.0013330041964946914
AUTOMOBILE,0.0008392989385336946
REDLIGHT,0.00039496420636879747
SPEEDING,0.00039496420636879747
MOTORCYCLE,0.0003455936805726978
DISABILITY,0.0003455936805726978
ALCOHOL,9.874105159219937e-05
HOOD_140,4.937052579609968e-05
TRSN_CITY_VEH,4.937052579609968e-05
TRUCK,0.0
