DATE,TIME,ROAD_CLASS,DISTRICT,LATITUDE,LONGITUDE,ACCLOC,TRAFFCTL,VISIBILITY,LIGHT,RDSFCOND,ACCLASS,IMPACTYPE,INVTYPE,INVAGE,INITDIR,VEHTYPE,MANOEUVER,DRIVACT,DRIVCOND,PEDCOND,CYCACT,PEDESTRIAN,CYCLIST,AUTOMOBILE,MOTORCYCLE,TRUCK,TRSN_CITY_VEH,PASSENGER,SPEEDING,AG_DRIV,REDLIGHT,ALCOHOL,DISABILITY,HOOD_158,HOOD_140,DIVISION
6/17/2007 8:00:00 AM,425,Local,Toronto and East York,43.689345,-79.45919,At Intersection,Stop Sign,Clear,Dark,Dry,Non-Fatal Injury,Pedestrian Collisions,Passenger,unknown,,Other,Other,,,,,Yes,,Yes,,,,Yes,,,,,,109,109,D13
6/17/2007 8:00:00 AM,425,Local,Toronto and East York,43.689345,-79.45919,At Intersection,Stop Sign,Clear,Dark,Dry,Non-Fatal Injury,Pedestrian Collisions,Vehicle Owner,unknown,,Other,,,,,,Yes,,Yes,,,,Yes,,,,,,109,109,D13
6/17/2007 8:00:00 AM,425,Local,Toronto and East York,43.689345,-79.45919,At Intersection,Stop Sign,Clear,Dark,Dry,Non-Fatal Injury,Pedestrian Collisions,Driver,20 to 24,South,"Automobile, Station Wagon",Unknown,,,,,Yes,,Yes,,,,Yes,,,,,,109,109,D13
6/17/2007 8:00:00 AM,425,Local,Toronto and East York,43.689345,-79.45919,At Intersection,Stop Sign,Clear,Dark,Dry,Non-Fatal Injury,Pedestrian Collisions,Pedestrian,unknown,,Other,Other,,,,,Yes,,Yes,,,,Yes,,,,,,109,109,D13
6/18/2007 8:00:00 AM,1549,Local,Etobicoke York,43.752245,-79.51259,,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,Vehicle Owner,unknown,,Other,,,,,,Yes,,Yes,,,,,,,,,,25,25,D31
6/18/2007 8:00:00 AM,1549,Local,Etobicoke York,43.752245,-79.51259,,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,Pedestrian,10 to 14,West,Other,,,,Unknown,,Yes,,Yes,,,,,,,,,,25,25,D31
5/27/2007 8:00:00 AM,1630,Major Arterial,Toronto and East York,43.667745,-79.43879,,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Turning Movement,Vehicle Owner,unknown,,Other,,,,,,,,Yes,,,,,,,,,,171,93,D11
5/27/2007 8:00:00 AM,1630,Major Arterial,Toronto and East York,43.667745,-79.43879,,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Turning Movement,Driver,20 to 24,South,"Automobile, Station Wagon",Going Ahead,Driving Properly,Normal,,,,,Yes,,,,,,,,,,171,93,D11
6/20/2007 8:00:00 AM,639,Major Arterial,Scarborough,43.776145,-79.26349,,No Control,Clear,Daylight,Dry,Non-Fatal Injury,SMV Other,Passenger,20 to 24,,Other,,,,,,,,Yes,,,,Yes,,,,,,156,127,D43
6/20/2007 8:00:00 AM,639,Major Arterial,Scarborough,43.776145,-79.26349,,No Control,Clear,Daylight,Dry,Non-Fatal Injury,SMV Other,Vehicle Owner,unknown,,Other,,,,,,,,Yes,,,,Yes,,,,,,156,127,D43
6/22/2007 8:00:00 AM,1029,Other,Scarborough,43.706145,-79.23599,,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,Vehicle Owner,unknown,,Other,,,,,,Yes,,,,,,,,,,,,123,123,D41
6/22/2007 8:00:00 AM,1029,Other,Scarborough,43.706145,-79.23599,,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,Driver,45 to 49,,Other,Going Ahead,,,,,Yes,,,,,,,,,,,,123,123,D41
5/18/2007 8:00:00 AM,958,Major Arterial,Etobicoke York,43.694245,-79.55859,,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Angle,Passenger,40 to 44,,Other,,,,,,,,Yes,,,,Yes,,Yes,Yes,,,6,6,D23
5/18/2007 8:00:00 AM,958,Major Arterial,Etobicoke York,43.694245,-79.55859,,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Angle,Vehicle Owner,unknown,,Other,,,,,,,,Yes,,,,Yes,,Yes,Yes,,,6,6,D23
5/18/2007 8:00:00 AM,958,Major Arterial,Etobicoke York,43.694245,-79.55859,,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Angle,Driver,40 to 44,North,"Automobile, Station Wagon",Going Ahead,Driving Properly,Normal,,,,,Yes,,,,Yes,,Yes,Yes,,,6,6,D23
5/18/2007 8:00:00 AM,958,Major Arterial,Etobicoke York,43.694245,-79.55859,,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Angle,Passenger,75 to 79,,Other,,,,,,,,Yes,,,,Yes,,Yes,Yes,,,6,6,D23
5/18/2007 8:00:00 AM,958,Major Arterial,Etobicoke York,43.694245,-79.55859,,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Angle,Driver,45 to 49,North,"Automobile, Station Wagon",Going Ahead,Driving Properly,,,,,,Yes,,,,Yes,,Yes,Yes,,,6,6,D23
