Original Feature,Importance
INVAGE,0.03259044862518088
INVTYPE,0.012474674384949336
INITDIR,0.011866859623733704
RDSFCOND,0.010072358900144705
MANOEUVER,0.00778581765557158
VEHTYPE,0.007641099855282185
PEDESTRIAN,0.005209840810419686
LATITUDE,0.004225759768451498
LONGITUDE,0.002691751085383487
LIGHT,0.0025759768451519617
HOOD_158,0.0015050651230101187
DRIVACT,0.0011866859623733239
SPEEDING,0.0011287988422576279
MOTORCYCLE,0.001099855282199691
IMPACTYPE,0.001070911722141865
ROAD_CLASS,0.000868306801736618
DISABILITY,0.0007814761215629628
DISTRICT,0.0006946454413892633
ACCLOC,0.0006078147612156083
AG_DRIV,0.0005499276410998677
PASSENGER,0.0004920405209840828
TRAFFCTL,0.0004920405209840828
HOOD_140,0.00046309696092616814
AUTOMOBILE,0.0004052098408104055
CYCLIST,0.0003762662807525352
ALCOHOL,0.000347322720694665
SEASON,0.0003183791606367503
VISIBILITY,0.00028943560057881346
TRUCK,0.0002604920405209654
DIVISION,0.0001736613603473547
REDLIGHT,0.00014471780028946224
DRIVCOND,0.00011577424023156979
TRSN_CITY_VEH,5.78871201158071e-05
